name,role_name,team_value,championships,value_rank,brand_value,sport_value,market_value,debt_to_value,operating_income,revenue,gate_receipts,revenue_per_fan,metro_area_pop,capacity,average_ticket_price,profile,gender,birthdate,mvp_index,reach_score,engagement_score,conversation_score,primary_role,role_name,status,delta_mvp_index,delta_reach_score,delta_engagement_score,delta_conversation_score,facebook_comment_rate,facebook_likes,facebook_post_like_rate,facebook_post_rate,facebook_share_rate,facebook_talking_about,google_plus_activities,google_plus_plus_ones,google_plus_replies,google_plus_shares,instagram_followers,instagram_following,instagram_photos,twitter_followers,twitter_following,twitter_mentions,twitter_mention_rate,twitter_retweet_rate,twitter_tweets,you_tube_interactions,you_tube_subscribers,you_tube_videos,you_tube_views
Arizona State University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.767235183,8.511571949,6.833131702,6.22507587,132,College or University (General - NCAA),active,7.30E-05,-0.001187914,0.002648889,0,209,241155,7327,26,1287,3041,null,null,null,null,36760,2962,852,151163,3152,null,1961,220,15843,0,7184,274,2279239
University of Iowa,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.766066018,8.262690847,7.058629509,6.52468787,132,College or University (General - NCAA),active,-0.002503755,-0.003007853,-0.047067242,0,100,102852,8075,27,889,4543,null,5,0,1,17356,67,385,161111,54,null,729,1288,26725,0,4148,1090,2823324
Ohio State University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.764023627,8.571211915,6.709260635,6.757447703,132,College or University (General - NCAA),active,-0.005341658,0.000650593,-0.107483747,0,485,681127,37583,38,2995,9532,null,null,null,null,99073,109,1324,null,null,null,null,null,null,24112,15878,265,7230028
University of Utah,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.762749667,7.477082211,7.777911135,6.81804651,132,College or University (General - NCAA),active,-0.000468461,-0.000778387,-0.008590842,0,460,130281,33832,57,3031,8227,null,6960,573,762,46104,976,2247,46856,1662,null,1270,801,18793,2376,2216,268,851561
Brigham Young University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.753921072,8.117968238,6.960453205,9.472687253,132,College or University (General - NCAA),active,0.00596342,9.36E-05,0.119174823,0,399,341316,36080,26,2720,8436,null,null,null,null,63711,537,716,40049,3330,null,353,596,4687,0,5036,165,2780790
Louisiana State University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.750404781,8.85458213,6.153513493,6.75669667,132,College or University (General - NCAA),active,0.000123143,-0.001065067,0.003527927,0,37,767400,2533,24,302,1661,null,3896,531,494,16246,33,275,150249,1110,null,762,1384,16998,0,0,0,0
University of Illinois,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.749615189,7.186330923,7.805972864,6.497027566,132,College or University (General - NCAA),active,0.001078992,-0.000824559,0.022404407,0,490,186583,35769,45,5607,7317,null,0,0,0,21435,1027,819,45301,7693,null,856,1264,19270,3135,3617,391,1407732
University of Kansas,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.748704923,7.735996034,7.238102421,7.608479454,132,College or University (General - NCAA),active,7.16E-05,-0.000691197,0.002123322,0,252,251580,22242,25,1776,3094,null,1901,125,167,31379,94,613,57510,521,null,503,1946,18215,0,0,0,0
San Diego State University ,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.748066006,6.862324717,8.098995397,7.816160823,132,College or University (General - NCAA),active,-0.001045092,-0.00173155,-0.019170285,0,728,97149,36374,153,2949,20634,null,1,0,0,17301,2181,1246,53156,6701,null,1082,1362,24615,0,1560,515,1460540
University of Washington,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.746019769,7.192235335,7.728160047,6.572741217,132,College or University (General - NCAA),active,-0.001225246,0.00048899,-0.024993913,0,782,314661,72507,76,4758,17677,null,7994,339,1196,38026,158,571,null,null,null,null,null,null,2264,5119,341,1780222
Texas Christian University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.745078163,7.620518211,7.281045051,6.403378221,132,College or University (General - NCAA),active,0.000903273,-0.000985057,0.019050524,0,307,72782,17229,30,2380,10186,null,38,3,0,40884,7498,514,74997,13996,null,864,770,9470,1056,1882,366,712571
University of Kentucky,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.731924963,8.061620917,6.576878337,6.942905028,132,College or University (General - NCAA),active,-0.001718969,-0.001275051,-0.033104331,0,73,402714,3446,36,2080,1799,null,11882,951,1375,27124,1375,1155,62252,2916,null,495,418,21280,0,0,0,0
Boston College,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.730016256,7.666801291,6.933523833,7.720986118,132,College or University (General - NCAA),active,0.000747262,-0.0022415,0.017186744,0,199,111771,12060,35,2337,6653,null,null,null,null,55783,198,1041,53490,2672,null,880,420,20158,5338,2995,216,1351206
North Carolina State University ,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.729573574,7.458059259,7.133412216,7.574805587,132,College or University (General - NCAA),active,-0.005837192,-0.001063609,-0.115680227,0,367,123671,21017,43,3910,2114,null,7,0,1,39660,17,1065,54010,293,null,2292,1643,8195,2576,4385,756,2585952
University of Notre Dame,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.724274179,7.480850369,7.004633206,7.059740229,132,College or University (General - NCAA),active,0.005044987,-0.003698163,0.104597896,0,262,149101,22860,25,4733,9503,null,0,0,0,null,null,null,94506,355,null,1810,872,11022,0,8097,998,5534508
University of Houston,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.722752914,6.544489452,7.910568826,6.497027566,132,College or University (General - NCAA),active,0.000810283,-0.002753426,0.018959087,0,697,143524,49222,92,4749,10737,null,null,null,null,null,null,null,50614,24450,null,653,1813,8964,null,null,null,null
United States Air Force Academy ,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.720719788,7.441218555,6.973177206,6.464310671,132,College or University (General - NCAA),active,0.002617569,0.001263382,0.051088004,0,528,360460,37115,47,2714,12301,null,1,0,0,29566,45,1215,14848,333,null,116,59,5720,2674,3049,342,1058959
United States Military Academy,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.712554059,6.836792139,7.414289043,6.75669667,132,College or University (General - NCAA),active,0.002239625,-0.000865825,0.045658323,0,625,255899,52771,44,3639,15789,null,1300,107,132,null,null,null,37942,201,null,520,325,4462,0,6715,176,2898560
Georgia Institute of Technology,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.703457224,7.264787921,6.804356556,7.566534748,132,College or University (General - NCAA),active,-0.001050246,-0.002423606,-0.018581306,0,340,110214,21601,17,2171,2960,null,null,null,null,26354,665,913,59635,2595,null,753,823,9101,10470,7685,766,5429884
University of Colorado,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.703385887,6.984425721,7.083292017,6.449181345,132,College or University (General - NCAA),active,-0.006356579,-0.001252936,-0.125878642,0,544,166022,30871,50,2760,7884,null,1496,66,198,30562,144,688,29455,987,null,419,785,10271,0,0,0,0
University of South Carolina,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.697985091,7.922934803,6.036767015,6.497027566,132,College or University (General - NCAA),active,-0.000119134,-0.000714902,-0.001667779,0,81,126448,5065,10,390,6530,null,905,115,107,35138,297,697,96421,3000,null,740,314,15022,null,null,null,null
University of Tennessee,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.69790287,7.753143631,6.204913765,7.096094031,132,College or University (General - NCAA),active,-9.84E-05,-0.001488879,-0.000478916,0,158,239126,12302,29,2066,11209,null,0,0,0,30318,147,769,62749,2134,null,749,813,8769,0,0,0,0
Oregon State University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.690638684,6.905037685,6.907735986,9.054023779,132,College or University (General - NCAA),active,0.008407778,-0.00141852,0.169574076,0,272,147471,27600,18,5461,2275,null,null,null,null,18698,null,339,42327,362,null,591,892,10522,5059,8402,733,5339732
University of Cincinnati,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.683113292,6.39080692,7.271458921,6.497027566,132,College or University (General - NCAA),active,0.000202529,-0.002408852,0.006459429,0,69,52303,2993,25,255,1102,null,null,null,null,17741,841,582,44490,1102,null,877,1211,34320,null,null,null,null
University of Minnesota,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.665972444,7.237953407,6.081495475,5.918373223,132,College or University (General - NCAA),active,0.002070388,-0.002584422,0.043992173,0,220,163714,13023,51,1037,4009,null,510,26,56,11979,180,452,62915,4894,null,298,203,8638,30720,8963,755,7472691
"California State University, Fresno ",College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.660095785,5.970199205,7.231716487,6.497027566,132,College or University (General - NCAA),active,0.000769076,-0.001199825,0.016581336,0,326,60050,11081,112,1642,1612,null,0,0,0,14826,203,1003,33749,1611,null,970,1529,23045,1053,1251,681,385382
Florida State University ,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.659332007,7.140671233,6.045968909,7.730270184,132,College or University (General - NCAA),active,0.00166712,0.000522832,0.032819559,0,518,164642,26771,81,3711,13797,null,0,0,0,63530,95,671,null,null,null,null,null,null,5477,4867,603,1529868
Kansas State University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.65246823,7.034193079,6.015171519,6.43849161,132,College or University (General - NCAA),active,0.000758657,-0.002600809,0.017773942,0,199,140213,11772,52,1412,2844,null,null,null,null,24950,40,750,43561,183,null,442,198,12292,0,0,0,0
University of Georgia,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.650324334,7.569657589,5.436829092,6.221632125,132,College or University (General - NCAA),active,0.000270527,-0.001233899,0.006644437,0,119,216437,5534,23,577,2287,null,null,null,null,31566,171,1286,51794,385,null,486,513,8980,0,0,0,0
Georgetown University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.649101925,6.170888419,6.811150085,6.35275135,132,College or University (General - NCAA),active,0.004758046,-0.005522636,0.100683553,0,276,126107,30937,24,2124,19789,null,null,null,null,null,null,null,42235,2446,null,826,483,5715,null,null,null,null
University of Miami,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.639503095,7.545679613,5.244382295,6.497027566,132,College or University (General - NCAA),active,0.003286101,-0.002016742,0.067738757,0,201,237886,8186,23,1007,5836,null,895,59,190,15238,149,553,63909,594,null,773,348,5361,686,1027,205,272690
Vanderbilt University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.638081226,6.483345224,6.278279305,6.534474629,132,College or University (General - NCAA),active,0.000262734,-0.004441215,0.009695903,0,159,97366,6232,17,1453,4025,null,665,67,94,20982,58,883,34509,2084,null,1232,472,14515,0,0,0,0
Virginia Tech,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.635087687,6.029620799,6.672132944,6.92165289,132,College or University (General - NCAA),active,0.009723263,0.000402689,0.194062563,0,455,169753,28451,87,3505,9242,null,null,null,null,null,null,null,29137,1543,null,463,746,6022,null,null,null,null
University of Mississippi,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.631850077,7.718102087,4.918899449,6.497027566,132,College or University (General - NCAA),active,0.000695736,-0.002365233,0.016279946,0,107,68423,4681,28,935,1685,null,7,0,1,63381,588,434,58351,2095,null,476,241,7580,0,0,0,0
Washington State University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.625156043,6.071346235,6.431774625,6.505276556,132,College or University (General - NCAA),active,0.002446485,-0.00171229,0.050641984,0,310,79922,10256,37,855,4586,null,3747,281,525,19002,2177,1157,27467,7363,null,217,288,11702,2145,2137,535,1736106
University of Nebraska,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.618309583,6.01413978,6.352051873,6.330779998,132,College or University (General - NCAA),active,0.000368976,-0.00031624,0.007695758,0,121,120421,10088,41,2650,1129,null,1770,89,196,19647,106,1588,16654,517,null,277,505,14513,1944,2796,1467,2119867
Oklahoma State University ,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.603458211,6.328663736,5.740500476,6.77745562,132,College or University (General - NCAA),active,0.000161771,-0.003744075,0.006979487,0,null,null,null,null,null,null,null,1,0,0,23609,2955,636,46837,11125,null,317,687,11085,0,0,0,0
Rutgers University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.599520221,6.927908688,5.062495729,6.818518686,132,College or University (General - NCAA),active,-0.000110501,-0.001963989,-0.000246029,0,162,67478,7194,21,1144,4945,null,null,null,null,12986,251,581,67107,278,null,785,279,4903,1915,2752,661,831320
Marquette University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.592923527,4.732483561,7.125986979,6.50331823,132,College or University (General - NCAA),active,-5.23E-05,-0.007776837,0.006730887,0,null,null,null,null,null,null,null,null,null,null,null,null,null,38271,6816,null,492,525,38513,null,null,null,null
Northwestern University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.578107881,6.439384565,5.122773059,6.616159813,132,College or University (General - NCAA),active,0.000542596,-0.0021057,0.012957611,0,73,109642,2434,23,415,1221,null,3,0,1,16213,76,445,35321,936,null,925,315,9282,2682,6284,1092,2638145
University of Maryland,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.568763046,6.500590462,4.874670463,9.231428095,132,College or University (General - NCAA),active,0.002298243,-0.003811793,0.049776653,0,197,119062,2869,45,535,1482,null,0,0,0,null,null,null,54057,1352,null,575,288,9393,1767,2041,188,470034
Wake Forest University ,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.559367287,4.878193594,6.309152142,6.369292041,132,College or University (General - NCAA),active,0.000166367,-0.002245001,0.005572338,0,134,33095,6054,49,544,2494,null,169,22,43,15568,4083,1259,16070,3777,null,505,465,11298,0,441,181,160801
Boise State University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.559097939,5.002812679,6.179146101,6.138772998,132,College or University (General - NCAA),active,0.000325327,-0.001063189,0.00756972,0,50,38757,702,47,16,627,null,null,null,null,13265,721,1119,19572,2310,null,257,424,20764,0,0,269,296584
San Jose State University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.557252628,5.609523069,5.535529499,6.208563575,132,College or University (General - NCAA),active,-0.000208165,-0.002608654,-0.001554647,0,85,49450,4719,22,302,1300,null,0,0,0,7171,395,307,35940,658,null,420,839,11790,620,756,104,172790
Iowa State University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.544014,4.819486546,6.060793449,6.497027566,132,College or University (General - NCAA),active,-0.000380406,-0.001687839,-0.005920286,0,105,71378,10372,18,763,6526,null,669,54,112,5379,78,194,18620,420,null,369,262,15440,0,0,0,0
Appalachian State University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.535215107,6.323069786,4.381232364,6.11097194,132,College or University (General - NCAA),active,-0.001028305,-0.003073668,-0.017492432,0,146,106879,8765,74,691,1183,null,null,null,null,19110,54,1155,29288,164,null,186,135,1943,935,650,172,287380
University of Delaware,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.52029074,4.050835565,6.354979228,7.45883231,132,College or University (General - NCAA),active,-0.000241283,-0.004266423,-0.000559237,0,66,20166,1856,28,279,359,null,null,null,null,6531,45,2102,17250,262,null,57,111,22385,2404,1700,1902,1428147
Gonzaga University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.514258921,3.461457018,6.823721401,6.460153451,132,College or University (General - NCAA),active,-0.00269339,-0.003266039,-0.050601755,0,458,48978,31976,61,3982,8930,null,null,null,null,null,null,null,12293,1193,null,423,410,7641,null,null,null,null
University of New Mexico,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.496791711,5.597776907,4.338057317,6.517507328,132,College or University (General - NCAA),active,-0.002370271,-0.002616214,-0.044789208,0,171,50768,6402,79,978,1146,null,0,0,0,5255,116,426,37559,219,null,242,212,4405,0,810,139,183894
Marshall University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.478296021,4.821982409,4.743938004,6.75669667,132,College or University (General - NCAA),active,0.000523042,-0.002374753,0.012835584,0,109,56762,4403,140,515,1461,null,0,0,0,9490,81,721,17090,1409,null,283,592,5626,0,0,0,0
University of Connecticut ,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.477769372,5.651815905,3.903571537,6.299801686,132,College or University (General - NCAA),active,0.002616726,-0.00596393,0.058298452,0,null,null,null,null,null,null,null,null,null,null,null,null,null,55414,916,null,758,307,6846,null,null,null,null
Utah State University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.468216829,4.378469555,4.985867017,6.442165544,132,College or University (General - NCAA),active,0.00125312,-0.001034973,0.026097376,0,203,53348,10319,21,1398,4471,null,0,0,0,9042,311,177,11696,3657,null,113,226,4799,1306,1569,310,756829
Montana State University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.45915697,3.913808414,5.269330983,5.997231612,132,College or University (General - NCAA),active,-0.000500704,1.36E-05,-0.010027694,0,229,97267,12600,39,1608,8520,null,null,null,null,null,null,null,7019,360,null,80,161,7047,null,null,null,null
University of Montana,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.448422428,4.41671121,4.551737343,6.538686661,132,College or University (General - NCAA),active,0.003293809,-0.000393063,0.066269234,0,218,122109,7553,62,669,2148,null,null,null,null,null,null,null,8119,447,null,207,203,6022,null,null,null,null
University of Louisville,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.446900322,4.292358778,4.645647662,7.393279268,132,College or University (General - NCAA),active,0.000749106,-0.003109319,0.018091442,0,211,65909,9628,129,1129,2349,null,1706,174,195,null,null,null,18051,74,null,280,159,3881,0,2029,1146,1182516
Baylor University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.437259298,6.500849622,2.244336336,6.438163388,132,College or University (General - NCAA),active,-0.000146202,-0.001684118,-0.001239922,0,null,null,null,null,null,null,null,null,null,null,70274,255,1980,null,null,null,null,null,null,0,0,0,0
University of Nevada,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.413442843,3.993362326,4.275494537,6.497027566,132,College or University (General - NCAA),active,0.005394288,0.002503981,0.105381775,0,67,45209,2233,13,146,583,null,null,null,null,5972,57,354,12017,498,null,349,126,8302,0,1636,149,497514
University of Hawaii  ,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.40933408,3.764588762,4.422092832,6.497027566,132,College or University (General - NCAA),active,0.00019559,-0.006409888,0.010321687,0,5,4434,99,19,19,14,null,0,0,0,1634,1079,663,22826,2357,null,86,285,8409,1449,1545,475,694092
University of Pittsburgh,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.401528037,4.592122693,3.438438045,7.792338789,132,College or University (General - NCAA),active,-0.000249433,-0.000975925,-0.004012744,0,81,58426,3371,22,598,2795,null,1,0,0,null,null,null,23913,1332,null,362,71,3699,0,0,148,342221
University of Wyoming,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.320960019,2.019397428,4.399802959,8.129439278,132,College or University (General - NCAA),active,0.005459045,0.000789156,0.108391753,0,244,44399,10742,57,1189,2882,null,null,null,null,null,null,null,1442,9,null,32,198,3257,0,472,269,198009
Mississippi State University,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.320153689,5.260378942,1.142694832,7.668419946,132,College or University (General - NCAA),active,6.63E-05,0.00146381,-0.000137931,0,null,null,null,null,null,null,null,null,null,null,41975,50,917,null,null,null,null,null,null,null,null,null,null
"University of Nevada, Las Vegas",College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.210097593,2.548552003,1.653399853,6.897222527,132,College or University (General - NCAA),active,-0.000745728,0.001214037,-0.016128604,0,63,37372,2316,26,350,923,null,2,1,0,5949,45,226,0,0,null,102,1,1,286,623,324,166778
University of Alabama,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.080015435,1.303467114,0.296841586,6.373216178,132,College or University (General - NCAA),active,0.000256135,0.001575932,0.003546761,0,null,null,null,null,null,null,null,64,43,5,5674,79,180,null,null,null,null,null,null,0,0,0,0
University of Texas at El Paso,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.058182849,0.29923658,0.864420406,7.598733115,132,College or University (General - NCAA),active,-8.14E-05,-0.001020989,-0.000606263,0,null,null,null,null,null,null,null,null,null,null,null,null,null,1314,126,null,176,97,603,null,null,null,null
University of Oregon,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,0.034126693,0.192219347,0.490314522,6.671692811,132,College or University (General - NCAA),active,0.000126911,0.000771726,0.001766492,0,null,null,null,null,null,null,null,0,0,0,null,null,null,null,null,null,null,null,null,0,10089,1793,5073915
University of Arkansas,College or University (General - NCAA),,,,,,,,,,,,,,,,null,null,null,null,null,null,132,College or University (General - NCAA),active,null,null,null,null,285,64452,10477,54,3866,3386,null,600,125,28,109033,119,1086,34681,450,null,487,1048,4524,0,0,0,0
Kolkata Knight Riders,Cricket (IPL),,,,,,,,,,,,,,,,null,null,0.803599729,8.226801948,7.845192638,7.138328456,114,Cricket (IPL),active,0.00465641,-0.000674866,0.093803056,0,2199,12891386,2653091,90,30721,785932,null,null,null,null,170179,27,769,1486739,63,null,1011,9033,21680,11595,35848,379,6150508
Mumbai Indians,Cricket (IPL),,,,,,,,,,,,,,,,null,null,0.802830977,8.313540933,7.743078615,6.460153451,114,Cricket (IPL),active,-0.000388448,0.001984544,-0.009753502,0,2312,9870883,2506932,102,31545,396484,null,null,null,null,447536,71,2352,1275516,168,null,2168,13459,29423,5830,17892,204,2062118
Royal Challengers Bangalore,Cricket (IPL),,,,,,,,,,,,,,,,null,null,0.729659887,8.459066032,6.134131709,7.680639419,114,Cricket (IPL),active,0.010759697,-0.000638121,0.215832062,0,1472,6928290,711538,66,8660,137855,null,null,null,null,null,null,null,1241324,565,null,2518,8398,28734,0,92724,594,33602421
Kings XI Punjab,Cricket (IPL),,,,,,,,,,,,,,,,null,null,0.721355648,7.821470172,6.605642779,6.509416732,114,Cricket (IPL),active,0.00198459,0.000325188,0.039366607,0,1257,7520970,1093181,64,9482,315266,null,null,null,null,222269,37,1017,781421,93,null,460,3872,22093,16945,30651,222,4641221
Sunrisers Hyderabad,Cricket (IPL),,,,,,,,,,,,,,,,null,null,0.569429612,5.963859979,5.424732269,6.403378221,114,Cricket (IPL),active,0.002996933,0.002855386,0.057083265,0,1586,3331816,607986,78,5674,127572,null,null,null,null,33502,18,185,718463,248,null,412,4339,17954,7418,12474,103,1458685
Chennai Super Kings,Cricket (IPL),,,,,,,,,,,,,,,,null,null,0.567931523,8.063208173,3.295422296,6.02633251,114,Cricket (IPL),active,-2.67E-05,-0.001246213,0.000712009,0,100,11870004,83107,4,589,75833,null,null,null,null,91629,91,1141,2088826,317,null,377,3575,26445,1353,28684,21,611271
Rajasthan Royals,Cricket (IPL),,,,,,,,,,,,,,,,null,null,0.501124106,6.685767901,3.336714222,6.819760543,114,Cricket (IPL),active,0.006608649,-0.002954235,0.135127217,0,81,3319647,62132,4,489,10496,null,null,null,null,122039,23,676,734617,422,null,23,3010,31291,5308,11869,834,3921994
Delhi Daredevils,Cricket (IPL),,,,,,,,,,,,,,,,null,null,0.498796072,5.545997122,4.429924327,9.16138479,114,Cricket (IPL),active,0.005276248,0.001302117,0.104222839,0,1066,3159478,351429,60,5913,135511,null,null,null,null,78855,39,364,632192,308,null,697,2708,19565,662,378,39,235216
Team Sky,Cycling,,,,,,,,,,,,,,,,null,null,0.907245494,9.236174226,8.908735662,9.171776398,112,Cycling,active,-0.000921697,-0.000753684,-0.017680249,0,1716,757755,273607,103,7576,25873,null,0,0,0,319114,58,1487,591180,177,null,2401,9565,17229,19426,59430,127,4358120
Omega Pharma-Quick Step,Cycling,,,,,,,,,,,,,,,,null,null,0.867321339,7.785901927,9.560524852,6.02633251,112,Cycling,active,-0.000249618,0.0006393,-0.005631659,0,920,333057,102930,91,2218,14333,null,226,25,22,144126,53,805,null,null,null,null,null,null,12482,31417,262,4091958
Team Tinkoff-Saxo,Cycling,,,,,,,,,,,,,,,,null,null,0.830200301,7.970014189,8.633991828,9.16272239,112,Cycling,active,0.004199194,-0.000568527,0.084552415,0,1763,447774,286736,118,14234,48241,null,78,9,4,210331,87,991,36,441,null,387,3626,9,13545,17440,151,2537302
Movistar Team,Cycling,,,,,,,,,,,,,,,,null,null,0.828735845,8.461885962,8.11283093,6.497027566,112,Cycling,active,0.012983506,-0.002405645,0.262075774,0,1243,258337,114988,80,17514,52380,null,13,0,0,173191,56,1556,353956,137,null,223,1084,33252,0,17296,280,3755930
Orica-GreenEDGE,Cycling,,,,,,,,,,,,,,,,null,null,0.802787544,8.111585119,7.944165761,6.318582585,112,Cycling,active,-0.000865562,0.000509492,-0.017820724,0,1143,167264,94093,150,3872,7108,null,2989,249,265,14305,7,134,128803,357,null,533,2839,13454,28834,62587,518,15508108
BMC Racing Team,Cycling,,,,,,,,,,,,,,,,null,null,0.798637232,8.27790716,7.694837471,6.373216178,112,Cycling,active,-0.001541281,-0.001939658,-0.028885958,0,930,406646,84938,149,2920,8521,null,336,6,10,145784,127,2254,181636,3544,null,863,4343,21083,2919,16261,403,1893607
Trek Factory Racing,Cycling,,,,,,,,,,,,,,,,null,null,0.793375145,8.388573375,7.478929525,8.333907044,112,Cycling,active,-0.003026149,-0.002281702,-0.058241269,0,708,582097,132952,47,5340,11569,null,1,0,0,126735,278,501,null,null,null,null,null,null,1803,5665,19,450922
Astana Pro Team,Cycling,,,,,,,,,,,,,,,,null,null,0.759561836,7.472544463,7.718692256,6.497027566,112,Cycling,active,0.000788439,-0.002756087,0.018524871,0,888,273008,130349,127,10908,21425,null,1001,86,26,88320,203,3431,110298,203,null,176,1518,8514,2051,6888,290,728259
Lotto-Belisol,Cycling,,,,,,,,,,,,,,,,null,null,0.727289919,5.564123008,8.981675377,9.023166642,112,Cycling,active,-0.000854393,-0.0046066,-0.012481258,0,null,null,null,null,null,null,null,9,0,0,18877,18,122,null,null,null,null,null,null,792,3155,48,191618
Garmin-Sharp,Cycling,,,,,,,,,,,,,,,,null,null,0.692715677,7.687058609,6.167254936,6.509416732,112,Cycling,active,-0.000817867,-0.003414003,-0.01294333,0,264,246883,30264,88,1093,4919,null,26,6,2,96846,65,1081,158265,298,null,567,2455,16547,0,10116,151,501128
Cannondale Pro Cycling Team,Cycling,,,,,,,,,,,,,,,,null,null,0.668167605,7.644068051,5.719284047,6.482895413,112,Cycling,active,0.001738862,-0.001927926,0.036705163,0,84,355452,13616,27,378,3195,null,215,33,41,99866,274,848,93396,256,null,136,503,6321,23311,0,389,10410993
Team Katusha,Cycling,,,,,,,,,,,,,,,,null,null,0.636857801,6.378721215,6.358434811,6.344820075,112,Cycling,active,0.000450571,-0.003414425,0.012425852,0,399,170439,51314,89,3287,8642,null,2,0,0,52230,147,1498,69846,387,null,182,2037,16950,687,2004,122,185689
Team Dimension Data,Cycling,,,,,,,,,,,,,,,,null,null,0.597526438,5.820708611,6.129820146,6.513697089,112,Cycling,active,0.000325685,-0.005183263,0.01169696,0,438,77557,22651,88,1154,3399,null,0,0,0,80066,67,1628,75861,18252,null,600,1425,24624,755,1593,78,172825
Giant-Shimano,Cycling,,,,,,,,,,,,,,,,null,null,0.562149838,6.347388845,4.895607909,7.042188487,112,Cycling,active,-0.005110026,-0.003307123,-0.098893395,0,358,92162,24948,71,1172,3971,null,218,10,19,99933,53,992,null,null,null,null,null,null,2659,8347,174,831068
FDJ.fr,Cycling,,,,,,,,,,,,,,,,null,null,0.548072094,5.100101339,5.861340544,6.784548323,112,Cycling,active,0.000856917,-0.003554507,0.020692843,0,664,74601,43538,68,3646,4993,null,10,0,0,null,null,null,49216,1063,null,184,82,18595,5356,6525,287,1937652
