name,role_name,team_value,championships,value_rank,brand_value,sport_value,market_value,debt_to_value,operating_income,revenue,gate_receipts,revenue_per_fan,metro_area_pop,capacity,average_ticket_price,profile,gender,birthdate,mvp_index,reach_score,engagement_score,conversation_score,primary_role,role_name,status,delta_mvp_index,delta_reach_score,delta_engagement_score,delta_conversation_score,facebook_comment_rate,facebook_likes,facebook_post_like_rate,facebook_post_rate,facebook_share_rate,facebook_talking_about,google_plus_activities,google_plus_plus_ones,google_plus_replies,google_plus_shares,instagram_followers,instagram_following,instagram_photos,twitter_followers,twitter_following,twitter_mentions,twitter_mention_rate,twitter_retweet_rate,twitter_tweets,you_tube_interactions,you_tube_subscribers,you_tube_videos,you_tube_views
Baltimore Orioles,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.673692067,6.927886807,6.545954542,7.153440252,72,Baseball (MLB),active,-0.000340274,0.000405641,-0.007211124,0,2573,1109153,235794,154,27354,30334,null,62994,5345,3685,267266,5,1599,426078,47,null,4545,25649,22446,null,null,null,null
Cleveland Indians,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.66697753,6.744160221,6.595390381,6.403378221,72,Baseball (MLB),active,-0.0024799,0.000592931,-0.050190927,0,3167,1139364,249375,197,33607,56512,null,11569,1924,659,186462,39,2152,383740,202,null,6759,20343,46224,null,null,null,null
Houston Astros,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.662326044,6.691240836,6.555280052,6.659809469,72,Baseball (MLB),active,0.000683369,0.001251367,0.012416008,0,2188,922584,282494,112,32601,47986,null,13519,1368,614,330469,55,3565,341389,427,null,4423,27750,44319,null,null,null,null
Arizona Diamondbacks,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.652392571,5.889631138,7.158220279,6.867890168,72,Baseball (MLB),active,-0.001277792,0.000809614,-0.026365459,0,2940,702031,275412,176,27901,70065,null,38928,3990,1234,177901,395,4167,265463,5774,null,5461,19656,62284,null,null,null,null
Minnesota Twins,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.635017479,6.697982091,6.002367483,6.678464179,72,Baseball (MLB),active,-0.000511684,0.000775251,-0.011008931,0,3208,1157835,273655,217,37061,28025,null,24763,2577,1104,173210,70,3183,363891,610,null,3148,10973,28412,null,null,null,null
Tampa Bay Rays,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.617557159,5.974366388,6.376776798,6.501146821,72,Baseball (MLB),active,-0.000476297,0.001528399,-0.011054339,0,3995,708552,266614,264,22800,42420,null,42119,3605,2360,162295,105,2999,301430,689,null,4527,14797,27341,null,null,null,null
Milwaukee Brewers,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.599628147,6.524301935,5.468261,6.489174231,72,Baseball (MLB),active,0.000656906,7.91E-07,0.013137337,0,1770,1051351,126530,168,18933,18867,null,39708,3295,2058,182582,85,5028,327864,149,null,2920,10495,28620,null,null,null,null
Oakland Athletics,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.589012868,6.252739414,5.527517943,6.688868389,72,Baseball (MLB),active,0.003531031,0.000400602,0.070220009,0,2679,781830,180425,158,14759,20830,null,51626,4788,2994,229796,43,3232,307152,242,null,2214,9270,24866,null,null,null,null
Colorado Rockies,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.582636263,6.086826612,5.565898657,6.554020011,72,Baseball (MLB),active,0.000551762,-1.24E-05,0.011047659,0,2722,874885,203523,220,14925,28681,null,21632,2140,997,191838,98,4440,236896,241,null,2089,12797,37086,null,null,null,null
Washington Nationals,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.568446383,6.210334969,5.158592699,8.76646249,72,Baseball (MLB),active,-0.000995532,0.000816783,-0.020727421,0,1386,609109,114374,105,9088,17997,null,3714,848,393,255469,30,2665,350923,574,null,3674,13944,34494,null,null,null,null
Miami Marlins,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.550253226,5.639797434,5.365267081,6.489174231,72,Baseball (MLB),active,-0.006623881,0.000480787,-0.13295841,0,1436,607251,107526,99,9045,20705,null,29779,1911,1395,237186,82,3644,189347,2782,null,1962,9794,36907,null,null,null,null
San Diego Padres,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.54915055,5.88199975,5.101011254,6.509416732,72,Baseball (MLB),active,0.000246424,0.000270977,0.004657493,0,2175,723787,106569,192,7714,18832,null,10865,1533,533,214424,66,2921,223188,934,null,3600,10889,23213,null,null,null,null
Golden State Warriors,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.920736306,9.203735464,9.210990661,6.250088158,73,Basketball (Men - NBA),active,-0.001322475,0.000475919,-0.026925418,0,9187,6576655,10770137,380,697838,1409010,null,208274,17587,12300,3633780,304,4122,1537519,877,null,34825,287198,52796,117439,203911,2959,58313814
Los Angeles Lakers,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.888756542,9.08615307,8.688977762,7.2264479,73,Basketball (Men - NBA),active,-0.000674379,-0.00013014,-0.013357448,0,4136,21471757,3158005,198,225302,393147,null,254492,40548,12882,2558957,62,3876,4704970,69,null,15230,190749,37140,null,null,null,null
Miami Heat,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.871521953,9.209713427,8.22072564,6.238491286,73,Basketball (Men - NBA),active,-0.002233326,7.21E-06,-0.044673718,0,3060,16129340,1440504,129,97503,160962,null,812,502,106,2424868,56,6002,3288525,155428,null,13570,124399,40239,224809,136095,383,56419206
San Antonio Spurs,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.805077424,7.814219977,8.287328497,7.50852001,73,Basketball (Men - NBA),active,-0.001772029,0.00047809,-0.035918671,0,9614,6524919,5678827,413,316252,611267,null,12022,1893,667,1082838,100,3779,1220265,881,null,26999,145768,23943,10629,15168,780,3679860
Chicago Bulls,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.804282449,8.785246729,7.300402252,9.052229883,73,Basketball (Men - NBA),active,0.002935426,-7.81E-05,0.058786577,0,3841,18267202,2913325,154,188648,401048,null,16494,2841,1158,2063648,74,2004,2544931,4966,null,10497,75920,33542,null,null,null,null
Cleveland Cavaliers,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.793444507,8.045558006,7.823332137,6.028845908,73,Basketball (Men - NBA),active,0.000420073,-1.26E-05,0.008414023,0,4811,5028895,2695857,232,90647,284033,null,112512,15524,4844,2484704,144,3651,1080798,1672,null,21244,67999,24766,null,null,null,null
Oklahoma City Thunder,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.747378409,8.10245298,6.845115195,6.719335023,73,Basketball (Men - NBA),active,0.000775653,0.000133533,0.01537952,0,5856,5930624,1910530,267,75758,261306,null,18626,4330,1141,1772233,133,8449,1238288,837,null,9552,59265,18944,12393,19751,1124,5056958
Los Angeles Clippers,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.743380043,7.702918437,7.164682428,6.762358835,73,Basketball (Men - NBA),active,-0.000696692,0.000599885,-0.014533728,0,5143,3640270,992761,333,42956,143109,null,106627,10600,5026,1260467,78,3586,902327,366,null,9234,50821,33366,16309,29163,624,3804005
Boston Celtics,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.685680126,7.97271317,5.740889347,8.931257572,73,Basketball (Men - NBA),active,-0.004573179,-0.000274342,-0.091189239,0,3030,8651895,293939,189,13661,65544,null,22924,3996,1519,1006906,901,2278,1829934,135,null,12032,42648,17653,null,null,null,null
Toronto Raptors,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.681719397,6.952861052,6.681526881,6.832597556,73,Basketball (Men - NBA),active,3.97E-05,0.001248518,-0.000455292,0,4729,1934006,348910,399,18060,49566,null,45075,5848,2745,27722,84,246,1021831,16386,null,15958,30150,43312,26106,38960,3511,17786927
New York Knicks,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.666684907,7.586015019,5.747683112,6.901166247,73,Basketball (Men - NBA),active,0.000621572,-8.32E-05,0.012514607,0,4309,5848264,529700,190,32745,110951,null,16796,4321,1131,1081708,76,4417,1367643,247,null,9893,30033,35908,null,null,null,null
Portland Trail Blazers,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.656238881,6.484966829,6.639810791,5.882469593,73,Basketball (Men - NBA),active,-0.001592369,0.000873571,-0.032720954,0,5000.5,2266661,876913.5,247,44491,68815,null,66670,8865,2941,558936,105,4520,550290,3042,null,6976,24581,56452,9147,17015,1795,5083753
Dallas Mavericks,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.642504773,7.100721213,5.749374247,6.489174231,73,Basketball (Men - NBA),active,-0.000637426,0.000395588,-0.0131441,0,3129,4427539,225261,212,12820,52078,null,37121,6252,2038,527075,136,3004,839822,511,null,6644,20256,25802,21412,16617,581,12234070
Sacramento Kings,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.63911556,6.598552835,6.183758372,6.977878855,73,Basketball (Men - NBA),active,0.001368676,0.000914772,0.026458742,0,5416,1625081,508740.6667,390,24922,70658,null,33125,2599,1461,444821,57,4817,441603,16807,null,5260,27010,43572,29921,26813,5513,36453517
